Name	C_inv	C_maint	C_op
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
HYDRO_DAM	0.140417	0.021002	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000007	0.000003	0.000000
CCGT_AMMONIA	0.000007	0.000003	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2704.679529	639.977622	0.000000
WIND_ONSHORE	441.537788	123.331765	0.000000
WIND_OFFSHORE	1269.607165	212.138806	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	399.348760	531.865690	0.000000
IND_COGEN_WOOD	0.000006	0.000004	0.000000
IND_COGEN_WASTE	0.000005	0.000004	0.000000
IND_BOILER_GAS	16.550914	4.943443	0.000000
IND_BOILER_WOOD	0.000005	0.000002	0.000000
IND_BOILER_OIL	0.000007	0.000002	0.000000
IND_BOILER_COAL	0.000005	0.000001	0.000000
IND_BOILER_WASTE	0.000005	0.000002	0.000000
IND_DIRECT_ELEC	0.000011	0.000001	0.000000
DHN_HP_ELEC	148.918035	104.628740	0.000000
DHN_COGEN_GAS	0.000008	0.000005	0.000000
DHN_COGEN_WOOD	0.000005	0.000004	0.000000
DHN_COGEN_WASTE	0.000005	0.000004	0.000000
DHN_COGEN_WET_BIOMASS	0.000002	0.000004	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000006	0.000004	0.000000
DHN_BOILER_GAS	2.799379	0.836121	0.000000
DHN_BOILER_WOOD	0.000005	0.000002	0.000000
DHN_BOILER_OIL	0.000016	0.000005	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	644.489446	421.146629	0.000000
DEC_THHP_GAS	0.000009	0.000004	0.000000
DEC_COGEN_GAS	0.000009	0.000009	0.000000
DEC_COGEN_OIL	0.000008	0.000008	0.000000
DEC_ADVCOGEN_GAS	0.000015	0.000005	0.000000
DEC_ADVCOGEN_H2	0.000028	0.000009	0.000000
DEC_BOILER_GAS	0.000012	0.000005	0.000000
DEC_BOILER_WOOD	0.000010	0.000005	0.000000
