Name	C_inv	C_maint	C_op
PT_POWER_BLOCK	0.000000	0.000000	0.000000
ST_POWER_BLOCK	0.000000	0.000000	0.000000
HYDRO_DAM	0.140417	0.021002	0.000000
TIDAL	0.000000	0.000000	0.000000
WAVE	0.000000	0.000000	0.000000
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000005	0.000002	0.000000
CCGT_AMMONIA	0.000005	0.000002	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	2704.679532	639.977623	0.000000
WIND_ONSHORE	441.537788	123.331765	0.000000
WIND_OFFSHORE	1269.607165	212.138806	0.000000
HYDRO_RIVER	19.393261	5.801152	0.000000
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	399.249825	531.733926	0.000000
IND_COGEN_WOOD	0.000004	0.000003	0.000000
IND_COGEN_WASTE	0.000004	0.000003	0.000000
IND_BOILER_GAS	17.376993	5.190177	0.000000
IND_BOILER_WOOD	0.000004	0.000001	0.000000
IND_BOILER_OIL	0.000005	0.000002	0.000000
IND_BOILER_COAL	0.000004	0.000001	0.000000
IND_BOILER_WASTE	0.000004	0.000001	0.000000
IND_DIRECT_ELEC	0.000007	0.000000	0.000000
DHN_HP_ELEC	144.331439	101.406231	0.000000
DHN_COGEN_GAS	0.000005	0.000003	0.000000
DHN_COGEN_WOOD	0.000004	0.000003	0.000000
DHN_COGEN_WASTE	0.000004	0.000003	0.000000
DHN_COGEN_WET_BIOMASS	0.000002	0.000003	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000005	0.000003	0.000000
DHN_BOILER_GAS	0.000024	0.000007	0.000000
DHN_BOILER_WOOD	0.000004	0.000001	0.000000
DHN_BOILER_OIL	0.000012	0.000004	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000000	0.000000	0.000000
DEC_HP_ELEC	644.489444	421.146628	0.000000
DEC_THHP_GAS	0.000007	0.000003	0.000000
DEC_COGEN_GAS	0.000006	0.000007	0.000000
DEC_COGEN_OIL	0.000006	0.000006	0.000000
DEC_ADVCOGEN_GAS	0.000011	0.000004	0.000000
DEC_ADVCOGEN_H2	0.000033	0.000011	0.000000
DEC_BOILER_GAS	0.000008	0.000004	0.000000
DEC_BOILER_WOOD	0.000007	0.000004	0.000000
