Td 	 Time	AMMONIA	AMMONIA_RE_BE	AMMONIA_RE_IMPORT	BIODIESEL	BIODIESEL_BE	BIOETHANOL	CO2_ATM	CO2_CAPTURED	CO2_EMISSIONS	CO2_INDUSTRY	COAL	DIESEL	ELEC_EXPORT	ELECTRICITY	GAS	GAS_RE_BE	GAS_RE_IMPORT	GASOLINE	H2	H2_RE_BE	H2_RE_IMPORT	LFO	LFO_RE_BE	METHANOL	METHANOL_RE_BE	METHANOL_RE_IMPORT	RES_GEO	RES_HYDRO	RES_SOLAR	RES_WIND	URANIUM	WASTE	WET_BIOMASS	WOOD	WOOD_PRODUCTION	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																												0.057153																-0.057153																																																																																																																																		0.000000	
 1 	 2																												0.057114																-0.057114																																																																																																																																		0.000000	
 1 	 3																												0.057078																-0.057078																																																																																																																																		0.000000	
 1 	 4																												0.057041																-0.057041																																																																																																																																		0.000000	
 1 	 5																												0.057004																-0.057004																																																																																																																																		0.000000	
 1 	 6																												0.056965																-0.056965																																																																																																																																		0.000000	
 1 	 7																												0.056926																-0.056926																																																																																																																																		0.000000	
 1 	 8																												0.056888																-0.056888																																																																																																																																		0.000000	
 1 	 9																												0.056849																-0.056849																																																																																																																																		0.000000	
 1 	 10																												0.056811																-0.056811																																																																																																																																		0.000000	
 1 	 11																												0.056776																-0.056776																																																																																																																																		0.000000	
 1 	 12																												0.056676																-0.056676																																																																																																																																		0.000000	
 1 	 13																												0.051411																-0.051411																																																																																																																																		0.000000	
 1 	 14																												0.001870																-0.001870																																																																																																																																		0.000000	
 1 	 15																												0.056623																-0.056623																																																																																																																																		0.000000	
 1 	 16																												0.056582																-0.056582																																																																																																																																		0.000000	
 1 	 17																												0.056546																-0.056546																																																																																																																																		0.000000	
 1 	 18																												0.056507																-0.056507																																																																																																																																		0.000000	
 1 	 19																												0.056469																-0.056469																																																																																																																																		0.000000	
 1 	 20																												0.056435																-0.056435																																																																																																																																		0.000000	
 1 	 21																												0.056396																-0.056396																																																																																																																																		0.000000	
 1 	 22																												0.056358																-0.056358																																																																																																																																		0.000000	
 1 	 23																												0.056319																-0.056319																																																																																																																																		0.000000	
 1 	 24																												0.056281																-0.056281																																																																																																																																		0.000000	
 2 	 1																												0.056242																-0.056242																																																																																																																																		0.000000	
 2 	 2																												0.056203																-0.056203																																																																																																																																		0.000000	
 2 	 3																												0.056164																-0.056164																																																																																																																																		0.000000	
 2 	 4																												0.056131																-0.056131																																																																																																																																		0.000000	
 2 	 5																												0.056092																-0.056092																																																																																																																																		0.000000	
 2 	 6																												0.056054																-0.056054																																																																																																																																		0.000000	
 2 	 7																												0.056015																-0.056015																																																																																																																																		0.000000	
 2 	 8																												0.055977																-0.055977																																																																																																																																		0.000000	
 2 	 9																												0.055938																-0.055938																																																																																																																																		0.000000	
 2 	 10																												0.055900																-0.055900																																																																																																																																		0.000000	
 2 	 11																												0.055861																-0.055861																																																																																																																																		0.000000	
 2 	 12																												0.055827																-0.055827																																																																																																																																		0.000000	
 2 	 13																												0.055789																-0.055789																																																																																																																																		0.000000	
 2 	 14																												0.055750																-0.055750																																																																																																																																		0.000000	
 2 	 15																												0.055712																-0.055712																																																																																																																																		0.000000	
 2 	 16																												0.055673																-0.055673																																																																																																																																		0.000000	
 2 	 17																												0.055635																-0.055635																																																																																																																																		0.000000	
 2 	 18																												0.055596																-0.055596																																																																																																																																		0.000000	
 2 	 19																												0.055558																-0.055558																																																																																																																																		0.000000	
 2 	 20																												0.055524																-0.055524																																																																																																																																		0.000000	
 2 	 21																												0.055485																-0.055485																																																																																																																																		0.000000	
 2 	 22																												0.055446																-0.055446																																																																																																																																		0.000000	
 2 	 23																												0.055408																-0.055408																																																																																																																																		0.000000	
 2 	 24																												0.055369																-0.055369																																																																																																																																		0.000000	
 3 	 1																												0.055345																-0.055345																																																																																																																																		0.000000	
 3 	 2																												0.055345																-0.055345																																																																																																																																		0.000000	
 3 	 3																												0.055342																-0.055342																																																																																																																																		0.000000	
 3 	 4																												0.055343																-0.055343																																																																																																																																		0.000000	
 3 	 5																												0.055343																-0.055343																																																																																																																																		0.000000	
 3 	 6																												0.055343																-0.055343																																																																																																																																		0.000000	
 3 	 7																												0.055338																-0.055338																																																																																																																																		0.000000	
 3 	 8																												0.055338																-0.055338																																																																																																																																		0.000000	
 3 	 9																												0.055337																-0.055337																																																																																																																																		0.000000	
 3 	 10																												0.055338																-0.055338																																																																																																																																		0.000000	
 3 	 11																												0.055334																-0.055334																																																																																																																																		0.000000	
 3 	 12																												0.055334																-0.055334																																																																																																																																		0.000000	
 3 	 13																												0.055334																-0.055334																																																																																																																																		0.000000	
 3 	 14																												0.055334																-0.055334																																																																																																																																		0.000000	
 3 	 15																												0.055331																-0.055331																																																																																																																																		0.000000	
 3 	 16																												0.055331																-0.055331																																																																																																																																		0.000000	
 3 	 17																												0.055331																-0.055331																																																																																																																																		0.000000	
 3 	 18																												0.055331																-0.055331																																																																																																																																		0.000000	
 3 	 19																												0.055326																-0.055326																																																																																																																																		0.000000	
