Name	Crit_1_tech	Crit_1_res	Crit_1_op
NUCLEAR	0.000000	0.000000	0.000000
CCGT	0.000000	0.000000	0.000001
CCGT_AMMONIA	0.000000	0.000000	0.000000
COAL_US	0.000000	0.000000	0.000000
COAL_IGCC	0.000000	0.000000	0.000000
PV	8.611540	0.000000	0.000000
WIND_ONSHORE	0.950742	0.000000	0.012088
WIND_OFFSHORE	0.888574	0.000000	0.017139
HYDRO_RIVER	0.016843	0.000000	0.000054
GEOTHERMAL	0.000000	0.000000	0.000000
IND_COGEN_GAS	0.467526	0.000000	9.936004
IND_COGEN_WOOD	0.000000	0.000000	0.000000
IND_COGEN_WASTE	0.000000	0.000000	0.000000
IND_BOILER_GAS	0.026838	0.000000	1.103419
IND_BOILER_WOOD	0.000000	0.000000	0.000000
IND_BOILER_OIL	0.000000	0.000000	0.000000
IND_BOILER_COAL	0.000000	0.000000	0.000005
IND_BOILER_WASTE	0.101239	0.000000	1.031947
IND_DIRECT_ELEC	0.000514	0.000000	0.000000
DHN_HP_ELEC	0.282037	0.000000	0.012049
DHN_COGEN_GAS	0.268386	0.000000	6.411886
DHN_COGEN_WOOD	0.000000	0.000000	0.000000
DHN_COGEN_WASTE	0.000000	0.000000	0.000000
DHN_COGEN_WET_BIOMASS	0.000000	0.000000	0.000000
DHN_COGEN_BIO_HYDROLYSIS	0.000000	0.000000	0.000000
DHN_BOILER_GAS	0.000000	0.000000	0.000000
DHN_BOILER_WOOD	0.000000	0.000000	0.000000
DHN_BOILER_OIL	0.000000	0.000000	0.000000
DHN_DEEP_GEO	0.000000	0.000000	0.000000
DHN_SOLAR	0.000001	0.000000	0.000000
DEC_HP_ELEC	1.401131	0.000000	0.043376
DEC_THHP_GAS	0.000005	0.000000	0.000002
DEC_COGEN_GAS	0.000000	0.000000	0.000000
DEC_COGEN_OIL	0.000000	0.000000	0.000004
DEC_ADVCOGEN_GAS	0.000000	0.000000	0.000000
DEC_ADVCOGEN_H2	0.000000	0.000000	0.000000
DEC_BOILER_GAS	0.000000	0.000000	0.000000
DEC_BOILER_WOOD	0.000000	0.000000	0.000000
DEC_BOILER_OIL	0.000000	0.000000	0.000000
DEC_SOLAR	0.000005	0.000000	0.000000
DEC_DIRECT_ELEC	0.000000	0.000000	0.000000
TRAMWAY_TROLLEY	0.086738	0.000000	0.000000
BUS_COACH_DIESEL	0.000000	0.000000	0.000000
BUS_COACH_HYDIESEL	0.000000	0.000000	0.000000
BUS_COACH_CNG_STOICH	0.641511	0.000000	1.265569
BUS_COACH_FC_HYBRIDH2	0.000000	0.000000	0.000000
BUS_COACH_ELECTRIC	0.000000	0.000000	0.000000
TRAIN_PUB	0.331995	0.000000	0.000000
CAR_GASOLINE	5.735310	0.000000	1.869755
CAR_DIESEL	0.000000	0.000000	0.000000
CAR_NG	0.000000	0.000000	0.000000
CAR_METHANOL	0.000000	0.000000	0.000000
