Td 	 Time	AMMONIA	AMMONIA_RE_BE	AMMONIA_RE_IMPORT	BIODIESEL	BIODIESEL_BE	BIOETHANOL	CO2_ATM	CO2_CAPTURED	CO2_EMISSIONS	CO2_INDUSTRY	COAL	DIESEL	ELEC_EXPORT	ELECTRICITY	GAS	GAS_RE_BE	GAS_RE_IMPORT	GASOLINE	H2	H2_RE_BE	H2_RE_IMPORT	LFO	LFO_RE_BE	METHANOL	METHANOL_RE_BE	METHANOL_RE_IMPORT	RES_GEO	RES_HYDRO	RES_SOLAR	RES_WIND	URANIUM	WASTE	WET_BIOMASS	WOOD	WOOD_PRODUCTION	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	GAS_TO_HVC	HABER_BOSCH	AMMONIA_TO_H2	OIL_TO_HVC	INDUSTRY_CCS	ADLIBIO_TO_HVC	ADLIBIO_TO_FUEL	ATM_CCS	BIO_HYDROLYSIS	BIOMASS_TO_METHANOL	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	METHANE_TO_METHANOL	METHANOL_TO_HVC	REDIFUEL	SMR	SYN_METHANATION	SYN_METHANOLATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1																																																																													0.137868	0.000000	0.000000	0.000000	0.091912	0.000000	0.229780																																																																																											-0.459560	
 1 	 2																																																																													0.055194	0.000000	0.000000	0.000000	0.036796	0.000000	0.091990																																																																																											-0.183981	
 1 	 3																																																																													0.027480	0.000000	0.000000	0.000000	0.018320	0.000000	0.045799																																																																																											-0.091599	
 1 	 4																																																																													0.331165	0.000000	0.000000	0.000000	0.220777	0.000000	0.551942																																																																																											-1.103884	
 1 	 5																																																																													0.883108	0.000000	0.000000	0.000000	0.588738	0.000000	1.471846																																																																																											-2.943691	
 1 	 6																																																																													2.207769	0.000000	0.000000	0.000000	1.471844	0.000001	3.679614																																																																																											-7.359228	
 1 	 7																																																																													4.276966	0.000000	0.000000	0.000000	2.851306	0.000001	7.128274																																																																																											-14.256546	
 1 	 8																																																																													3.725094	0.000000	0.000000	0.000000	2.483392	0.000001	6.208488																																																																																											-12.416974	
 1 	 9																																																																													3.449170	0.000000	0.000000	0.000000	2.299443	0.000001	5.748614																																																																																											-11.497227	
 1 	 10																																																																													3.863080	0.000000	0.000000	0.000000	2.575382	0.000001	6.438464																																																																																											-12.876926	
 1 	 11																																																																													4.414928	0.000000	0.000000	0.000000	2.943281	0.000001	7.358211																																																																																											-14.716420	
 1 	 12																																																																													4.856435	0.000000	0.000000	0.000000	3.237618	0.000001	8.094055																																																																																											-16.188109	
 1 	 13																																																																													4.414928	0.000000	0.000000	0.000000	2.943281	0.000001	7.358211																																																																																											-14.716420	
 1 	 14																																																																													4.470122	0.000000	0.000000	0.000000	2.980077	0.000001	7.450201																																																																																											-14.900400	
 1 	 15																																																																													5.021994	0.000000	0.000000	0.000000	3.347991	0.000002	8.369987																																																																																											-16.739973	
 1 	 16																																																																													5.242747	0.000000	0.000000	0.000000	3.495159	0.000002	8.737909																																																																																											-17.475817	
 1 	 17																																																																													5.242747	0.000000	0.000000	0.000000	3.495159	0.000002	8.737909																																																																																											-17.475817	
 1 	 18																																																																													3.863080	0.000000	0.000000	0.000000	2.575382	0.000001	6.438464																																																																																											-12.876926	
 1 	 19																																																																													2.759336	0.000000	0.000000	0.000000	1.839554	0.000001	4.598891																																																																																											-9.197782	
 1 	 20																																																																													2.069197	0.000000	0.000000	0.000000	1.379462	0.000001	3.448660																																																																																											-6.897319	
 1 	 21																																																																													1.378681	0.000000	0.000000	0.000000	0.919120	0.000000	2.297802																																																																																											-4.595603	
