Td 	 Time	ELECTRICITY	GASOLINE	DIESEL	BIOETHANOL	BIODIESEL	BIODIESEL_BE	LFO	LFO_RE_BE	GAS	GAS_RE_IMPORT	GAS_RE_BE	WOOD	WOOD_PRODUCTION	WET_BIOMASS	COAL	URANIUM	WASTE	H2	H2_RE_IMPORT	H2_RE_BE	AMMONIA	METHANOL	AMMONIA_RE_IMPORT	AMMONIA_RE_BE	METHANOL_RE_IMPORT	METHANOL_RE_BE	ELEC_EXPORT	CO2_EMISSIONS	RES_WIND	RES_SOLAR	RES_HYDRO	RES_GEO	CO2_ATM	CO2_INDUSTRY	CO2_CAPTURED	NUCLEAR	CCGT	CCGT_AMMONIA	COAL_US	COAL_IGCC	PV	WIND_ONSHORE	WIND_OFFSHORE	HYDRO_RIVER	GEOTHERMAL	IND_COGEN_GAS	IND_COGEN_WOOD	IND_COGEN_WASTE	IND_BOILER_GAS	IND_BOILER_WOOD	IND_BOILER_OIL	IND_BOILER_COAL	IND_BOILER_WASTE	IND_DIRECT_ELEC	DHN_HP_ELEC	DHN_COGEN_GAS	DHN_COGEN_WOOD	DHN_COGEN_WASTE	DHN_COGEN_WET_BIOMASS	DHN_COGEN_BIO_HYDROLYSIS	DHN_BOILER_GAS	DHN_BOILER_WOOD	DHN_BOILER_OIL	DHN_DEEP_GEO	DHN_SOLAR	DEC_HP_ELEC	DEC_THHP_GAS	DEC_COGEN_GAS	DEC_COGEN_OIL	DEC_ADVCOGEN_GAS	DEC_ADVCOGEN_H2	DEC_BOILER_GAS	DEC_BOILER_WOOD	DEC_BOILER_OIL	DEC_SOLAR	DEC_DIRECT_ELEC	TRAMWAY_TROLLEY	BUS_COACH_DIESEL	BUS_COACH_HYDIESEL	BUS_COACH_CNG_STOICH	BUS_COACH_FC_HYBRIDH2	BUS_COACH_ELECTRIC	TRAIN_PUB	CAR_GASOLINE	CAR_DIESEL	CAR_NG	CAR_METHANOL	CAR_HEV	CAR_PHEV	CAR_BEV	CAR_FUEL_CELL	TRAIN_FREIGHT	BOAT_FREIGHT_DIESEL	BOAT_FREIGHT_NG	BOAT_FREIGHT_METHANOL	TRUCK_DIESEL	TRUCK_METHANOL	TRUCK_FUEL_CELL	TRUCK_ELEC	TRUCK_NG	HABER_BOSCH	SYN_METHANOLATION	METHANE_TO_METHANOL	BIOMASS_TO_METHANOL	OIL_TO_HVC	GAS_TO_HVC	METHANOL_TO_HVC	ADLIBIO_TO_HVC	ADLIBIO_TO_FUEL	AMMONIA_TO_H2	ATM_CCS	BIO_HYDROLYSIS	BIOMETHANATION	DHN	EFFICIENCY	GASIFICATION_SNG	GRID	H2_BIOMASS	H2_ELECTROLYSIS	INDUSTRY_CCS	REDIFUEL	SMR	SYN_METHANATION	PHS_Pin	PHS_Pout	BATT_LI_Pin	BATT_LI_Pout	BEV_BATT_Pin	BEV_BATT_Pout	PHEV_BATT_Pin	PHEV_BATT_Pout	TS_DEC_DIRECT_ELEC_Pin	TS_DEC_DIRECT_ELEC_Pout	TS_DEC_HP_ELEC_Pin	TS_DEC_HP_ELEC_Pout	TS_DEC_THHP_GAS_Pin	TS_DEC_THHP_GAS_Pout	TS_DEC_COGEN_GAS_Pin	TS_DEC_COGEN_GAS_Pout	TS_DEC_COGEN_OIL_Pin	TS_DEC_COGEN_OIL_Pout	TS_DEC_ADVCOGEN_GAS_Pin	TS_DEC_ADVCOGEN_GAS_Pout	TS_DEC_ADVCOGEN_H2_Pin	TS_DEC_ADVCOGEN_H2_Pout	TS_DEC_BOILER_GAS_Pin	TS_DEC_BOILER_GAS_Pout	TS_DEC_BOILER_WOOD_Pin	TS_DEC_BOILER_WOOD_Pout	TS_DEC_BOILER_OIL_Pin	TS_DEC_BOILER_OIL_Pout	TS_DHN_DAILY_Pin	TS_DHN_DAILY_Pout	TS_DHN_SEASONAL_Pin	TS_DHN_SEASONAL_Pout	TS_HIGH_TEMP_Pin	TS_HIGH_TEMP_Pout	GAS_STORAGE_Pin	GAS_STORAGE_Pout	H2_STORAGE_Pin	H2_STORAGE_Pout	DIESEL_STORAGE_Pin	DIESEL_STORAGE_Pout	GASOLINE_STORAGE_Pin	GASOLINE_STORAGE_Pout	LFO_STORAGE_Pin	LFO_STORAGE_Pout	AMMONIA_STORAGE_Pin	AMMONIA_STORAGE_Pout	METHANOL_STORAGE_Pin	METHANOL_STORAGE_Pout	CO2_STORAGE_Pin	CO2_STORAGE_Pout	END_USE	
 1 	 1		0.203964		0.000006																																																																																-0.036887				-0.000000	-0.000000																				0.000000												0.000000																																											-3034.083194	3033.916111									0.000000	
 1 	 2		0.203963		0.000006																																																																																-0.014767				-0.000000	-0.000000																				0.000000												0.000000																																											-3034.094884	3033.905683									0.000000	
 1 	 3		0.203959		0.000006																																																																																-0.007352				-0.000000	-0.000000																				0.000000												0.000000																																											-3034.096637	3033.900025									0.000000	
 1 	 4		0.203951		0.000006																																																																																-0.088603				-0.000000	-0.000000																				0.000000												0.000000																																											-3034.046848	3033.931495									0.000000	
 1 	 5		0.204225		0.000006																																																																																-0.236275				-0.000000	-0.000000																				0.000000												0.000000																																											-3034.043351	3034.075396									0.000000	
 1 	 6		0.204231		0.000006																																																																																-0.590689				-0.000000	-0.000000																				0.000000												0.000000																																											-3033.863957	3034.250409									0.000000	
 1 	 7		0.204217		0.000006																																																																																-1.144302				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.566592	3034.506671									0.000000	
 1 	 8		0.204201		0.000006																																																																																-0.996649				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.645058	3034.437500									0.000000	
 1 	 9		0.204180		0.000006																																																																																-0.922825				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.681940	3034.400580									0.000000	
 1 	 10		0.204180		0.000006																																																																																-1.033567				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.627470	3034.456852									0.000000	
 1 	 11		0.204191		0.000006																																																																																-1.181214				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.554815	3034.531833									0.000000	
 1 	 12		0.204200		0.000006																																																																																-1.299339				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.496645	3034.591778									0.000000	
 1 	 13		0.204195		0.000006																																																																																-1.181214				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.555274	3034.532287									0.000000	
 1 	 14		0.204195		0.000006																																																																																-1.195981				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.547820	3034.539601									0.000000	
 1 	 15		0.204202		0.000006																																																																																-1.343634				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.474311	3034.613737									0.000000	
 1 	 16		0.204205		0.000006																																																																																-1.402697				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.444445	3034.642932									0.000000	
 1 	 17		0.204203		0.000006																																																																																-1.402697				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.443516	3034.642006									0.000000	
 1 	 18		0.204179		0.000006																																																																																-1.033567				-0.000000	-0.000001																				0.000000												0.000000																																											-3033.624755	3034.454138									0.000000	
 1 	 19		0.204158		0.000006																																																																																-0.738260				-0.000000	-0.000000																				0.000000												0.000000																																											-3033.768067	3034.302164									0.000000	
 1 	 20		0.204257		0.000006																																																																																-0.553613				-0.000000	-0.000000																				0.000000												0.000000																																											-3033.880927	3034.230278									0.000000	
 1 	 21		0.204260		0.000006																																																																																-0.368866				-0.000000	-0.000000																				0.000000												0.000000																																											-3033.975993	3034.140593									0.000000	
 1 	 22		0.204262		0.000006																																																																																-0.236275				-0.000000	-0.000000																				0.000000												0.000000																																											-3034.043110	3034.075118									0.000000	
 1 	 23		0.203984		0.000006																																																																																-0.147672				-0.000000	-0.000000																				0.000000												0.000000																																											-3034.017437	3033.961120									0.000000	
 1 	 24		0.203988		0.000006																																																																																-0.059069				-0.000000	-0.000000																				0.000000												0.000000																																											-3034.070800	3033.925875									0.000000	
 2 	 1		3.137296		0.000087																																																																																-0.036887				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.373847	3032.273349									0.000000	
 2 	 2		3.137321		0.000087																																																																																-0.014767				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.382858	3032.260215									0.000000	
 2 	 3		3.137332		0.000087																																																																																-0.007352				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.384679	3032.254611									0.000000	
 2 	 4		3.137325		0.000087																																																																																-0.088603				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.341542	3032.292732									0.000000	
 2 	 5		3.137287		0.000087																																																																																-0.236275				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.266051	3032.364952									0.000000	
 2 	 6		3.137156		0.000087																																																																																-0.590689				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.088779	3032.542223									0.000000	
 2 	 7		3.136742		0.000088																																																																																-1.144302				-0.000000	-0.000001																				0.000001												0.000000																																											-3035.126426	3033.133897									0.000000	
 2 	 8		3.137196		0.000088																																																																																-0.996649				-0.000000	-0.000001																				0.000001												0.000000																																											-3035.198867	3033.058232									0.000000	
 2 	 9		3.136984		0.000088																																																																																-0.922825				-0.000000	-0.000001																				0.000001												0.000000																																											-3035.236244	3033.021997									0.000000	
 2 	 10		3.136945		0.000088																																																																																-1.033567				-0.000000	-0.000001																				0.000001												0.000000																																											-3035.180698	3033.077232									0.000000	
 2 	 11		3.136823		0.000088																																																																																-1.181214				-0.000000	-0.000001																				0.000001												0.000000																																											-3035.106973	3033.151275									0.000000	
 2 	 12		3.136685		0.000088																																																																																-1.299339				-0.000000	-0.000001																				0.000001												0.000000																																											-3035.047930	3033.210495									0.000000	
 2 	 13		3.136632		0.000088																																																																																-1.181214				-0.000000	-0.000001																				0.000001												0.000000																																											-3035.107047	3033.151540									0.000000	
 2 	 14		3.136547		0.000088																																																																																-1.195981				-0.000000	-0.000001																				0.000001												0.000000																																											-3035.099658	3033.159003									0.000000	
 2 	 15		3.136499		0.000088																																																																																-1.343634				-0.000000	-0.000001																				0.000001												0.000000																																											-3035.025734	3033.232781									0.000000	
 2 	 16		3.136510		0.000088																																																																																-1.402697				-0.000000	-0.000001																				0.000001												0.000000																																											-3034.996050	3033.262148									0.000000	
 2 	 17		3.136482		0.000088																																																																																-1.402697				-0.000000	-0.000001																				0.000001												0.000000																																											-3034.995958	3033.262085									0.000000	
 2 	 18		3.136443		0.000088																																																																																-1.033567				-0.000000	-0.000001																				0.000001												0.000000																																											-3035.180722	3033.077758									0.000000	
 2 	 19		3.136463		0.000088																																																																																-0.738260				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.328354	3032.930063									0.000000	
 2 	 20		3.136622		0.000087																																																																																-0.553613				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.082980	3032.499884									0.000000	
 2 	 21		3.136592		0.000087																																																																																-0.368866				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.173908	3032.406095									0.000000	
 2 	 22		3.136522		0.000087																																																																																-0.236275				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.239537	3032.339203									0.000000	
 2 	 23		3.136442		0.000087																																																																																-0.147672				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.282668	3032.293810									0.000000	
 2 	 24		3.136369		0.000087																																																																																-0.059069				-0.000000	-0.000000																				0.000001												0.000000																																											-3035.325792	3032.248404									0.000000	
 3 	 1		0.646034		0.000018																																																																																-0.036887				-0.000000	-0.000000																				0.000000												0.000000																																											-3034.376251	3033.767085									0.000000	
